,Video URL,Video Type,Selling Point,Hook Type,Price Range,Category,Price Range Labels
49,https://www.tiktok.com/@bkfurnitures/video/7290178654284336391,Faceless,Sell Benefit,Review Feedback,50,Home Appliances,Between $50 and $100
50,https://www.tiktok.com/@sue_ahim/video/7285648182904737025,Faceless,Sell Why,Review Feedback,0,Home Appliances,Less than $50
51,https://www.tiktok.com/@manje___/video/7296348719664958738,Show Face,Sell How To,Review Feedback,0,Home Appliances,Less than $50
52,https://www.tiktok.com/@nor.sakina/video/7286658419614813447,Show Face,Sell Benefit,Review Feedback,0,Home Appliances,Less than $50
53,https://www.tiktok.com/@aina.frhana/video/7285299331970731266,Show Face,Sell How To,Question,0,Clothing,Less than $50
54,https://www.tiktok.com/@sue_ahim/video/7282059162819808513,Faceless,Sell Benefit,Review Feedback,0,Home Appliances,Less than $50
55,https://www.tiktok.com/@simplyhomez/video/7282746427661438216,Show Face,Sell Benefit,Review Feedback,100,Home Appliances,Between $100 and $150
56,https://www.tiktok.com/@simplyhomez/video/7283447663712865544,Faceless,Sell Benefit,Review Feedback,50,Home Appliances,Between $50 and $100
57,https://www.tiktok.com/@lyndalulla/video/7281869269846019329,Faceless,Sell Benefit,Review Feedback,0,Home Appliances,Less than $50
58,https://www.tiktok.com/@darshu_1472/video/7299276305739156743,Show Face,Sell Benefit,Review Feedback,50,Home Appliances,Between $50 and $100
59,https://www.tiktok.com/@ubrlifestyle/video/7297051293686795521,Faceless,Sell Benefit,Review Feedback,0,Home Appliances,Less than $50
60,https://www.tiktok.com/@nuranyzhayzrah.96/video/7283017236657245441,Show Face,Sell Benefit,Review Feedback,0,Home Appliances,Less than $50
61,https://www.tiktok.com/@mama.claxton/video/7303216793575853343,Show Face,Sell Why,Review Feedback,0,Beauty,Less than $50
62,https://www.tiktok.com/@thebeachwaver/video/7299700118436072746,Faceless,Sell Benefit,Review Feedback,0,Home Appliances,Less than $50
63,https://www.tiktok.com/@jordanlea90/video/7302156662213774622,Show Face,Sell Benefit,Review Feedback,0,Pet,Less than $50
64,https://www.tiktok.com/@jokergreeting/video/7302207223386705194,Show Face,Sell How To,Review Feedback,0,Home Appliances,Less than $50
65,https://www.tiktok.com/@quietlifebea/video/7296641529068866862,Faceless,Sell Why,Review Feedback,50,Clothing,Between $50 and $100
66,https://www.tiktok.com/@mrsmckennabarry/video/7302915218194140459,Faceless,Sell Why,Review Feedback,0,Pet,Less than $50
67,https://www.tiktok.com/@givethemgrace/video/7293536961757809950,Faceless,Sell How To,Review Feedback,0,Home Appliances,Less than $50
68,https://www.tiktok.com/@malinamcivor/video/7290547025077308718,Show Face,Sell How To,Review Feedback,0,Home Appliances,Less than $50
69,https://www.tiktok.com/@sherri1223/video/7303582385189408046,Show Face,Sell How To,Review Feedback,0,Beauty,Less than $50
70,https://www.tiktok.com/@rayslife_/video/7301515434958818603,Show Face,Sell Benefit,Review Feedback,0,Pet,Less than $50
71,https://www.tiktok.com/@thebeachwaver/video/7300326869235174699,Show Face,Sell How To,Review Feedback,50,Pet,Between $50 and $100
72,https://www.tiktok.com/@itsmekelsc/video/7303592304554741038,Show Face,Sell Benefit,Review Feedback,50,Pet,Between $50 and $100
73,https://www.tiktok.com/@international_bro/video/7303190345330855210,Faceless,Sell Benefit,Review Feedback,0,Home Appliances,Less than $50
74,https://www.tiktok.com/@37yroldgrandparents/video/7303691489933135150,Show Face,Sell How To,Review Feedback,0,Home Appliances,Less than $50
75,https://www.tiktok.com/@chrisgarage78/video/7301822632746339630,Faceless,Sell Benefit,Review Feedback,0,Home Appliances,Less than $50
76,https://www.tiktok.com/@hiddensteals/video/7284695050045361450,Faceless,Sell Benefit,Review Feedback,0,Home Appliances,Less than $50
77,https://www.tiktok.com/@redbeerd_builds/video/7304044288051039519,Show Face,Sell Why,Review Feedback,0,Home Appliances,Less than $50
78,https://www.tiktok.com/@stellarhealth/video/7302799957822672159,Faceless,Sell Why,Review Feedback,0,Health Wellness,Less than $50
79,https://www.tiktok.com/@adifishy/video/7302585365829815595,Show Face,Sell Benefit,Review Feedback,0,Home Appliances,Less than $50
80,https://www.tiktok.com/@simplysammyk/video/7303599242575121694,Show Face,Sell Benefit,Question,100,Home Appliances,Between $100 and $150
81,https://www.tiktok.com/@13ccc4lfr03/video/7296138830799834411,Show Face,Sell Benefit,Review Feedback,0,Home Appliances,Less than $50
82,https://www.tiktok.com/@craggygames/video/7296942706465541419,Show Face,Sell Benefit,Review Feedback,0,Home Appliances,Less than $50
83,https://www.tiktok.com/@danielleathena/video/7301419722480930090,Show Face,Sell How To,Review Feedback,50,Beauty,Between $50 and $100
84,https://www.tiktok.com/@lesliespamm0/video/7304046619111001387,Faceless,Sell Why,Review Feedback,0,Clothing,Less than $50
85,https://www.tiktok.com/@johnson770707/video/7285554258278206750,Faceless,Sell Benefit,Review Feedback,0,Clothing,Less than $50
86,https://www.tiktok.com/@quishealth/video/7284444817684401454,Faceless,Sell Benefit,Review Feedback,0,Health Wellness,Less than $50
87,https://www.tiktok.com/@insidethenout/video/7306160651410361643,Faceless,Sell Benefit,Review Feedback,0,Home Appliances,Less than $50
88,https://www.tiktok.com/@alexisjohnson1019/video/7304812867675491626,Show Face,Sell How To,Question,0,Clothing,Less than $50
89,https://www.tiktok.com/@chloeeleanorr/video/7297739263943232810,Faceless,Sell How To,Question,0,Home Appliances,Less than $50
